show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,vote_average,popularity,final_rating
s52,Movie,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,France,2021-04-24,2019,G,5 min,Special Interest,"This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. Practice this for at least 5 minutes. If you did this each day you would notice stress levels dropping, sleep improve and your ability to focus as well as feeling a lot calmer!. Accompanying video Iao Valley on Maui.",5.238986111111112,7.2967916666666675,3.822779019733797
s53,Movie,Yellowneck,R. John Hugh,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",United States,2021-04-24,1955,NC-17,84 min,"Action, Military and War, Western","During the U.S. Civil War, five deserters (yellownecks) from the Confederate army decide to embark on a dangerous mission through the Florida everglades to escape to Cuba. They have to survive snakes, a Florida panther, quicksand, and a hurricane in the swamps, along with local angry indians. Only one of the men will survive to make it to the Florida coast, but which one? The hurricane scenes involve footage form a real hurricane that hit Florida during the shooting of the film.",4.2,1.175,0.4935
s54,TV Show,Yearly Departed,Linda Mendoza,"Phoebe Robinson, Rachel Brosnahan, Tiffany Haddish, Patti Harrison, Natasha Leggero, Natasha Rothwell, Sarah Silverman, Ziwe, Christina Aguilera, Sterling K Brown",United States,2021-04-24,2020,TV-MA,1 Season,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety","Goodbye and good riddance, 2020. In this hilarious, absurd, life-affirming comedy special, seven outspoken female comedians lay to rest the year that never seemed to end. Hosted by Phoebe Robinson (2 Dope Queens), a lineup of some of the world's funniest women bid farewell to 2020's biggest conceptual casualties, from TV Cops to Casual Sex, giving the year a cathartic sendoff.",5.238986111111112,7.2967916666666675,3.822779019733797
s55,Movie,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",India,2021-04-24,2019,G,126 min,"Drama, International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,5.238986111111112,7.2967916666666675,3.822779019733797
s56,Movie,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",India,2021-04-24,2019,G,125 min,"Drama, International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,5.238986111111112,7.2967916666666675,3.822779019733797
s57,TV Show,Yancy Derringer,Unknown,"Jock Mahoney, X Brands, Kevin Hagen, Framces Bergen, Charlene James, Joan Taylor, Charles Bronson, Margaret Hayes, Kelly Thordsen, Particia Blair",United States,2021-04-24,1959,TV-14,1 Season,"Action, Western","Yancy Derringer, an ex-Confederate soldier turned gambler, was a suave lady's man in New Orleans, Louisiana. In reality, he was working for John Colton, the civil administrator of the city. Yancy's job was to prevent crime and if necessary, arrest the culprits. His constant companion was Pahoo-Ka-Ta-Wah a Native American who watches Yancy's back.",6.667,7.272,4.8482424
s58,TV Show,Xploration Earth 2050,Unknown,Chuck Pell,United States,2021-04-24,2017,TV-G,2 Seasons,"Documentary, Science Fiction","What will the world look like in 2050? Where will advancements in science, technology, engineering, and math lead us? Host Chuck Pell takes viewers on a mind bending journey in search of these answers.",0.0,1.356,0.0
s59,TV Show,Xiaolin Chronicles,Unknown,"Tara Strong, Jennifer Hale, Eric Bauza, David Kaye, Michael Donovan, Cree Summer","France, United States",2021-04-24,2015,TV-Y7,1 Season,"Adventure, Animation, Kids","Newcomer Ping Pong joins the legendary Xiaolin Monks: Omi, Kimiko, Raimundo, and Clay for fantastical new adventures! Leading the dark forces is Heylin Dragon Chase, who vows to revenge against Xiaolin. Throwing a monkey's wrench into the mix is supervillain wannabe Jack Spicer. Under the tutelage of an evil witch, Jack and his robot army are gunning for the Shen Gong Wu for world domination.",4.0,5.755,2.302
s60,Movie,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",Canada,2021-04-24,2001,R,109 min,"Fantasy, Science Fiction, Suspense",A man learns the danger of a new technology that allows people to transport their minds into a waiting body at their chosen destination when his body is taken over by a terrorist.,5.442,5.394,2.9354148
s61,Movie,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia","United States, Israel",2021-04-24,1983,R,89 min,Suspense,"A psychotic killer keeps a young girl trapped inside a hospital, having fixed her x-rays to make it look like she has a terminal illness, and brutally murders everyone she comes in contact with.",6.758,19.535,13.201753
s62,TV Show,WWII in HD,Unknown,"Gary Sinise, Charles Scheffel",United States,2021-04-24,2009,TV-14,1 Season,Action,"The only people to see the war like this were the ones who fought it. Until now...70+ years in the making. The first documentary to show World War II from the perspective of both sides in full, immersive HD color, WWII in HD uses the diaries of soldiers who fought in the war's biggest battles to create a personal, introspective and detailed look at life on and off the front lines.",7.6,5.478,4.163279999999999
s63,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",United States,2021-04-24,2008,NC-17,85 min,"Documentary, LGBTQ","From the dawn of the sexual revolution comes the outrageous and true story of 1970s gay porn icon Jack Wrangler. Jack rose to become a major brand name in adult entertainment, as well as a hero to the newly liberated gay population, only to cross over to straight movies and fall in love with famous vocalist Margaret Whiting.",5.8,2.718,1.57644
s64,TV Show,WPC 56,Unknown,"WPC Annie Taylor, Charles De'Ath, Olly Rix, James Barriscale, Rachel Leskovac, Liam Jeavons, Mark Healy",United Kingdom,2021-04-24,2015,TV-14,3 Seasons,"Drama, Romance, Suspense","The third series of WPC 56 follows WPC Annie Taylor, one of the first female police constables to serve in England's West Midlands in 1956.",5.6,5.316,2.97696
s65,TV Show,Would I Lie to You?,Unknown,"David Mitchell, Lee Mack, Rob Brydon",United Kingdom,2021-04-24,2009,TV-PG,1 Season,"Comedy, Special Interest, Unscripted","On the third season of 'Would I Lie to You?' there is a new host, Rob Brydon, who joins regular team captains David Mitchell and Lee Mack David Mitchell. Together, they have to work out whether their celebrity guests are telling true stories from their weird and wonderful lives, or spinning a tall tale based on a lie given to them by the production team.",7.62,21.03,16.02486
s66,TV Show,Wotakoi: Love is Hard for Otaku,Unknown,"Arisa Date, Kent Ito, Miyuki Sawashiro, Tomokazu Sugita, Yuki Kaji",Japan,2021-04-24,2018,Not Rated,1 Season,TV Shows,"When Narumi, an office lady who hides the fact that she is a yaoi fangirl, changes jobs, she is reunited with Hirotaka, her childhood friend who is attractive and skilled but is a hardcore gaming otaku. They decide to start dating for now, but being otaku, both of them are awkward so a serious romantic relationship is rather difficult for them...",7.3,27.618,20.16114
s67,TV Show,World’s Toughest Race: Eco-Challenge Fiji,Unknown,Bear Grylls,United States,2021-04-24,2020,TV-14,1 Season,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race.",7.0,1.619,1.1333
s68,TV Show,World War II: When Lions Roared,Joseph Sargent,"Michael Caine, John Lithgow, Bob Hoskins",United States,2021-04-24,1994,TV-14,1 Season,Drama,"At the Tehran and Yalta Conferences, the strong personalities of three of the world's most powerful leaders threaten their fragile alliance. This riveting historical drama portrays the precarious relationship between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin at the pivotal moments when the final strategies of the war hung in the balance.",7.0,2.513,1.7591
s69,Movie,World War II: Saving the Reality,Tim Gray,Dan Aykroyd,United States,2021-04-24,2012,Not Rated,56 min,Documentary,"Over the course of five decades, Kenneth W. Rendell amassed the largest and most comprehensive private collection of original World War II memorabilia in the world. Narrated by Dan Aykroyd, World War II: Saving the Reality opens the doors to this private museum. Rendell provides a guided tour of the museum's 30 exhibits.",0.0,0.6,0.0
s70,TV Show,World War 2 - The Call of Duty: A Complete Timeline,Unknown,Liam Dale,United Kingdom,2021-04-24,2020,TV-14,1 Season,"Documentary, Military and War","Track the main events of World War II with the help of remarkable archive footage and see exactly what happened, and when. Learn about Pearl Harbor, The Battle of Britain, D-Day, the dropping of the atomic bomb and more. From the early battles right through to the complexities of the endgame, this extensive 24 episode series shines a spotlight on a period of history that should never be forgotten.",7.0,0.786,0.5502
s71,Movie,World Inferno Friendship Society,Baeble Music,Unknown,France,2021-04-24,2007,NR,40 min,Music Videos and Concerts,The circus comes to town with this performance at the traveling Spiegeltent from Wolrd Inferno Friendship Society.,5.0,0.6,0.3
s72,TV Show,World Food Championships,Unknown,Tiffany Derry,United States,2021-04-24,2014,TV-PG,1 Season,TV Shows,World Food Championships invites the champions from the biggest and best food competitions around the world into a single high-stakes culinary showdown for hundreds of thousands of dollars.,5.238986111111112,7.2967916666666675,3.822779019733797
s73,TV Show,WordWorld,Diane Kredensor,"Tyler Bunch, Peter Linz, Lenore Zann, Sean Schemmel, Veronica Taylor, Marc Thompson, Meredith Zeitlin, Daryl Ekroth, George Bailey, Mirm Kriegel",United States,2021-04-24,2007,TV-G,1 Season,Kids,The loveable WordFriends take children on adventures in a world of words where they encounter all sorts of situations that can only be solved by building a word!,5.7,6.62,3.7734
s74,Movie,Words On Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",United States,2021-04-24,2020,PG-13,111 min,Drama,"Diagnosed with a mental illness, a witty, introspective teen falls in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",7.947,16.115,12.8065905
s75,TV Show,WordGirl,Unknown,"Dannah Feinglass Phirman, Chris Parnell, Maria Bamford",United States,2021-04-24,2010,TV-G,1 Season,Kids,WordGirl and her sidekick Captain Huggy Face take down quirky villains in every action-packed episode.,7.083,62.17,44.035011
s76,TV Show,Wonders of Mexico,Unknown,Anthony Mendez,United States,2021-04-24,2018,TV-G,1 Season,"Documentary, Special Interest","Mexico is rich in culture and ablaze with color. Discover the hidden underworlds, diversity of life, and a mosaic of vast landscapes that create a festival of life. Includes: Forests of the Maya, Mountain Worlds, and Burning North.",8.0,1.251,1.0008
